ID,Name,Country,Latitude (°),Longitude (°),Elevation (m),Light pollution,Limiting magnitude
lhk,Landessternwarte Heidelberg-Königstuhl,Germany,"49° 23' 53.32"" N","08° 43' 29.58"" E",561,very bad,5.5
lick,Lick Observatory,United States,"37° 20' 36.00"" N","121° 38' 12.00"" W",1290,bad,6.1
livingston,LIGO (Livingston),United States,"30° 33' 46.42"" N","90° 46' 27.27"" W",18,bad,5.8
lmt,Large Millimeter Telescope,Mexico,"18° 59' 10.32"" N","97° 18' 53.28"" W",4563,moderate,6.5
loiano,Loiano Observatory,Italy,"44° 15' 32.95"" N","11° 20' 03.98"" E",753,bad,6.1
lowell,Lowell Observatory,United States,"35° 05' 48.00"" N","111° 32' 06.00"" W",2198,low,6.7
lulin,Lulin Observatory,Taiwan,"23° 28' 09.46"" N","120° 52' 21.67"" E",2852,moderate,6.5
mcdonald,McDonald Observatory,United States,"30° 40' 18.00"" N","104° 01' 18.00"" W",2075,very low,6.7
mdm,Michigan-Dartmouth-MIT Observatory,United States,"31° 57' 11.87"" N","111° 36' 53.65"" W",1938,low,6.7
medicina,Medicina Radio Telescope,Italy,"44° 31' 13.80"" N","11° 38' 48.84"" E",25,bad,5.8
metsahovi,Metsähovi Radio Observatory,Finland,"60° 13' 04.13"" N","24° 23' 35.27"" E",51,bad,6.1
midi,Observatoire du Pic du Midi,France,"42° 56' 11.93"" N","00° 08' 29.29"" E",2829,moderate,6.6
miro,Mount Abu InfraRed Observatory,India,"24° 39' 11.15"" N","72° 46' 47.43"" E",1680,moderate,6.6
mmt,Multiple Mirror Telescope,United States,"31° 41' 18.00"" N","110° 53' 06.00"" W",2608,low,6.7
molonglo,Molonglo Observatory Synthesis Telescope,Australia,"35° 22' 14.78"" S","149° 25' 41.50"" E",736,moderate,6.6
mrao,Murchison Radio-astronomy Observatory,Australia,"26° 41' 49.30"" S","116° 37' 51.82"" E",374,negligible,6.8
mro,Manastash Ridge Observatory,United States,"46° 57' 03.95"" N","120° 43' 28.33"" W",1198,moderate,6.6
mso,Mt. Stromlo Observatory,Australia,"35° 19' 08.87"" S","149° 00' 31.89"" E",767,bad,5.8
mtbigelow,Catalina Observatory: 61 inch telescope,United States,"32° 25' 00.00"" N","110° 43' 54.00"" W",2510,bad,6.3
mullard,Mullard Radio Astronomy Observatory,United Kingdom,"52° 10' 02.36"" N","00° 01' 57.88"" E",21,bad,5.8
mwo,Mount Wilson Observatory,United States,"34° 13' 33.24"" N","118° 03' 25.20"" W",1742,very bad,5.1
ngts,Next-Generation Transit Survey,Chile,"24° 36' 57.85"" S","70° 23' 25.97"" W",2440,negligible,6.8
nhao,Nishi-Harima Astronomical Observatory,Japan,"35° 01' 31.14"" N","134° 20' 07.53"" E",432,moderate,6.5
nobeyama,Nobeyama 45m Telescope,Japan,"35° 56' 40.27"" N","138° 28' 20.71"" E",1347,moderate,6.5
noto,Noto Radio Telescope,Italy,"36° 52' 33.06"" N","14° 59' 20.04"" E",30,bad,5.8
